D1H,Q1H,Q24H,R12H,R1H,R24H,R6H,Sav1H,Sax1H,Sax3H,Sax6H,Sx1H,Sx3H,Sx6H,Tb1n6,Tb1x6,Tb2n6,Tb2x6,Tgn12,Tgn14,Tgn6,Tn12,Tn14,Tn6,Tx12,Tx24,Tx6,W10,W10-10,dd,dn,dr,dsd,dx,ff,ffs,fsd,fx,fxs,gff,gffs,h,h1,h2,h3,hc,hc1,hc2,hc3,n,n1,n2,n3,nc,nc1,nc2,nc3,nhc,p0,pg,pp,pr,ps,pwc,qg,qgn,qgx,qnh,rg,rh,sq,ss,ta,tb,tb1,tb2,tb3,tb4,tb5,td,tg,tgn,tn,tsd,tx,vv,ww,ww-10,za,zm,station,time,wsi,stationname,lat,lon,height,product,projection
,,,,,,,10.113,10.4491,10.4987,11.1849,12.5138,12.5138,12.9509,,,,,,,,2.4,2.0,3.9,4.7,4.7,4.7,0.0,0.0,109.2,78.8,,6.7,130.8,10.3665,12.54,0.72,,,11.8195,13.79,474.921,474.921,604.921,0.0,474.921,474.921,604.921,0.0,8.0,7.0,8.0,0.0,8.0,7.0,8.0,0.0,8.0,992.231,0.0,997.468,0.0,993.0,0.0,,,,997.361,,91.0,0.0,,4.0,3.39252,,,,,,2.8,,,3.9,,4.0,10100.0,2.0,10.0,1430.0,10100.0,06201,[2.4007518e+09],0-20000-0-06201,D15-FA-1,54.3256,2.9358,42.7,,
,,,,,,,4.14971,4.42205,4.5484,4.64947,5.37918,5.45752,5.70124,,,,,,,,4.9,4.9,4.9,7.1,7.1,6.8,0.0,0.0,111.9,73.1,,6.6,142.0,3.68083,4.37,0.37,,,4.59581,5.28,94.9213,94.9213,204.921,0.0,94.9213,94.9213,204.921,0.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0,0.0,8.0,991.319,0.0,996.395,0.0,993.5,0.0,,,,996.345,,98.0,0.0,,5.7,5.55638,,,,,,5.5,,,5.6,,5.7,1810.0,20.0,20.0,6990.0,1810.0,06203,[2.4007518e+09],0-20000-0-06203,P11-B,52.36,3.3417,41.84,,
,,,,,,,8.63542,9.49021,12.4173,13.0011,14.0806,14.9698,17.7669,,,,,,,,3.6,3.6,3.6,4.3,4.6,4.3,5.0,8.0,128.3,67.5,,15.4,199.7,8.38941,10.06,2.35,,,14.0806,16.31,194.921,194.921,664.921,864.921,194.921,194.921,664.921,864.921,8.0,1.0,4.0,5.0,8.0,1.0,4.0,5.0,8.0,993.429,0.0246,999.351,36.0,995.2,50.0,,,,999.237,,90.0,0.0,,3.7,3.03349,,,,,,2.4,,,3.6,,3.7,13100.0,51.0,80.0,1140.0,13100.0,06205,[2.4007518e+09],0-20000-0-06205,A12-CPP,55.3992,3.8103,48.35,,
,,,,,,,7.01638,7.18048,7.49267,7.50868,8.42957,8.67161,8.78846,,,,,,,,0.7,0.7,0.7,2.0,2.0,1.3,0.0,0.0,114.0,99.8,,4.1,125.2,6.99636,8.74,0.47,,,8.42957,10.1,534.921,534.921,684.921,0.0,534.921,534.921,684.921,0.0,8.0,7.0,8.0,0.0,8.0,7.0,8.0,0.0,8.0,993.14,0.0,998.584,0.0,994.9,0.0,,,,998.426,,90.0,0.0,,0.9,0.310331,,,,,,-0.4,,,0.8,,0.9,6500.0,10.0,10.0,1930.0,6500.0,06207,[2.4007518e+09],0-20000-0-06207,L9-FF-1,53.6144,4.9603,45.31,,
,,,,,,,7.36792,7.81743,9.76764,9.76764,10.2493,12.0206,12.6225,,,,,,,,0.0,0.0,0.0,0.9,1.4,0.9,0.0,0.0,129.5,118.1,,3.9,137.8,7.52698,9.07,0.55,,,8.71883,10.14,614.921,614.921,854.921,984.921,614.921,614.921,854.921,984.921,8.0,2.0,6.0,7.0,8.0,2.0,6.0,7.0,8.0,993.263,0.0,998.28,0.0,995.0,0.0,,,,998.128,,85.0,0.0,,0.9,0.0118406,,,,,,-1.3,,,0.8,,0.9,8140.0,10.0,10.0,3330.0,8140.0,06208,[2.4007518e+09],0-20000-0-06208,AWG-1,53.4917,5.9417,40.5,,
,,,,,,,8.4956,8.84981,8.9796,9.11749,10.0751,10.2607,10.4885,,,,,,,,4.4,3.3,4.5,5.5,5.5,5.4,0.0,0.0,120.4,113.9,,3.5,130.8,8.79303,10.84,0.33,,,10.0751,11.94,304.921,304.921,424.921,0.0,304.921,304.921,424.921,0.0,8.0,5.0,8.0,0.0,8.0,5.0,8.0,0.0,8.0,991.308,0.0,996.879,0.0,992.7,0.0,,,,996.799,,94.0,0.0,,4.8,4.38263,,,,,,3.9,,,4.7,,4.9,7150.0,10.0,10.0,1850.0,7150.0,06211,[2.4007518e+09],0-20000-0-06211,J6-A,53.8242,2.9453,45.7,,
,,,,,,,4.48694,5.19935,5.19935,5.19935,6.52205,6.52205,6.52205,,,,,,,,2.8,2.5,2.8,4.3,4.3,3.8,1.0,1.0,104.7,61.9,,8.9,142.0,3.7412,4.49,0.39,,,4.76213,5.52,124.921,124.921,0.0,0.0,124.921,124.921,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,992.016,0.0,996.883,0.0,992.4,0.0,,,,996.781,,97.0,0.0,,2.8,2.60853,,,,,,2.5,,,2.8,,2.9,2590.0,10.0,10.0,2730.0,2590.0,06213,[2.4007518e+09],0-528-0-06213,Hollandse Kust Noord,52.6978,4.2933,39.66,,
,,,,,,,9.42749,10.454,11.34,12.42,13.4583,13.9639,14.8791,,,,,,,,0.0,0.0,0.5,1.4,1.9,1.4,8.0,8.0,,,,,,8.96061,10.62,1.25,,,11.3576,13.03,414.921,414.921,534.921,674.921,414.921,414.921,534.921,674.921,8.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,993.48,0.685,998.876,600.0,994.2,70.0,,,,998.713,,94.0,0.0,,1.0,0.645765,,,,,,0.3,,,0.8,,1.0,2940.0,86.0,86.0,1450.0,2940.0,06214,[2.4007518e+09],0-20000-0-06214,Buitengaats BG-OHVS2,54.0369,6.0417,43.56,,
0.0,33.3,171.48,0.0,0.0,7.069,0.0,2.455,3.07,3.07,3.07,4.06,4.08,4.08,,,,,4.0,3.4,4.4,4.1,3.5,4.5,5.0,5.0,5.0,0.0,0.0,82.4,47.8,0.0,8.3,111.1,2.47,2.47,0.33,3.75,3.75,3.19,3.19,264.921,264.921,374.921,484.921,264.921,264.921,374.921,484.921,8.0,2.0,5.0,7.0,8.0,2.0,5.0,7.0,8.0,996.395,0.0,996.254,0.0,996.2,0.0,94.0,79.0,120.0,996.257,0.0,99.0,0.0,0.0,4.8,4.73077,,,,,,4.7,5.5,5.5,4.7,,4.8,3000.0,10.0,10.0,2830.0,3000.0,06215,[2.4007518e+09],0-20000-0-06215,Voorschoten,52.1397,4.4364,-1.15,,
,,,,,,,3.0979,3.40673,4.07145,4.07145,4.27781,5.30207,5.30207,,,,,,,,4.5,4.0,4.5,5.7,5.7,5.7,,,102.2,68.9,,9.9,137.8,2.58413,3.11,0.37,,,3.59783,4.18,84.9213,84.9213,194.921,0.0,84.9213,84.9213,194.921,0.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0,0.0,8.0,991.131,0.0,996.493,0.0,991.4,,,,,996.417,,99.0,0.0,,4.6,4.53134,,,,,,4.5,,,4.5,,4.6,,,,,,06216,[2.4007518e+09],0-528-0-06216,Hollandse Kust Zuid Alpha,52.3194,4.0422,44.0,,
,,,,,,,2.83011,3.00839,4.20338,4.37052,4.08175,5.13678,5.45675,,,,,,,,4.7,4.0,4.7,5.8,5.8,5.8,0.0,0.0,87.8,50.6,,10.7,123.8,2.5822,3.09,0.33,,,3.36399,3.89,294.921,294.921,464.921,584.921,294.921,294.921,464.921,584.921,8.0,2.0,6.0,8.0,8.0,2.0,6.0,8.0,8.0,991.821,0.0,996.792,0.0,992.1,0.0,,,,996.719,,97.0,0.0,,4.7,4.49278,,,,,,4.3,,,4.7,,4.8,4770.0,10.0,10.0,2260.0,4770.0,06218,[2.4007518e+09],0-528-0-06218,Hollandse Kust West Alpha,52.6797,3.8044,40.77,,
,,,,,,,3.92583,4.2,4.99,5.01,4.95,6.0,6.33,,,,,,,,,,,,,,,,77.2,59.1,,9.1,97.0,3.98,3.98,0.26,4.66,4.66,4.66,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,06225,[2.4007518e+09],0-20000-0-06225,IJmuiden,52.4622,4.555,4.4,,
