D1H,Q1H,Q24H,R12H,R1H,R24H,R6H,Sav1H,Sax1H,Sax3H,Sax6H,Sx1H,Sx3H,Sx6H,Tb1n6,Tb1x6,Tb2n6,Tb2x6,Tgn12,Tgn14,Tgn6,Tn12,Tn14,Tn6,Tx12,Tx24,Tx6,W10,W10-10,dd,dn,dr,dsd,dx,ff,ffs,fsd,fx,fxs,gff,gffs,h,h1,h2,h3,hc,hc1,hc2,hc3,n,n1,n2,n3,nc,nc1,nc2,nc3,nhc,p0,pg,pp,pr,ps,pwc,qg,qgn,qgx,qnh,rg,rh,sq,ss,ta,tb,tb1,tb2,tb3,tb4,tb5,td,tg,tgn,tn,tsd,tx,vv,ww,ww-10,za,zm,station,time,wsi,stationname,lat,lon,height,product,projection
,,,,,,,16.5417,16.9468,17.8148,18.5836,19.6706,20.8706,21.9848,,,,,,,,2.7,2.7,2.7,3.9,3.9,3.8,0.0,0.0,108.1,77.3,,6.3,126.6,16.9468,20.5,1.4,,,19.3706,22.6,754.921,754.921,864.921,1064.92,754.921,754.921,864.921,1064.92,7.0,1.0,3.0,7.0,7.0,1.0,3.0,7.0,7.0,986.138,0.0,991.334,0.0,987.0,0.0,,,,991.267,,84.0,0.0,,3.8,2.71805,,,,,,1.3,,,3.4,,3.8,13800.0,1.0,2.0,5.92,13800.0,06201,[2.4006852e+09],0-20000-0-06201,D15-FA-1,54.3256,2.9358,42.7,,
,,,,,,,11.1197,11.3963,12.2049,14.0663,13.1868,14.0485,16.477,,,,,,,,2.6,2.5,3.5,4.8,4.8,4.8,6.0,6.0,109.6,91.4,,4.6,132.2,11.152,13.24,0.74,,,13.1868,15.15,704.921,704.921,924.921,1074.92,704.921,704.921,924.921,1074.92,7.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,984.317,0.572,989.397,576.0,986.4,60.0,,,,989.344,,91.0,0.0,,4.6,3.97461,,,,,,3.3,,,4.5,,4.7,7120.0,61.0,61.0,8140.0,7120.0,06203,[2.4006852e+09],0-20000-0-06203,P11-B,52.36,3.3417,41.84,,
,,,,,,,14.9233,16.3535,17.1291,17.1291,21.8072,21.8072,21.8072,,,,,,,,3.1,3.1,3.1,4.6,4.6,4.6,0.0,0.0,110.7,70.3,,10.2,157.5,11.6084,13.92,3.71,,,19.5108,22.6,1374.92,1374.92,1614.92,1924.92,1374.92,1374.92,1614.92,1924.92,8.0,1.0,7.0,8.0,8.0,1.0,7.0,8.0,8.0,989.137,0.0,995.032,0.0,990.9,0.0,,,,994.946,,81.0,0.0,,4.3,2.98664,,,,,,1.5,,,4.3,,4.4,26600.0,2.0,2.0,4.0,26600.0,06205,[2.4006852e+09],0-20000-0-06205,A12-CPP,55.3992,3.8103,48.35,,
,,,,,,,12.1462,12.5758,12.5758,12.5758,14.372,14.372,14.372,,,,,,,,0.3,0.3,0.8,1.7,4.9,1.7,0.0,0.0,112.5,101.3,,3.3,125.2,12.5758,15.71,0.72,,,14.372,17.22,734.921,734.921,934.921,10364.9,734.921,734.921,934.921,10364.9,8.0,4.0,7.0,8.0,8.0,4.0,7.0,8.0,8.0,988.45,0.0,993.862,0.0,990.2,0.0,,,,993.736,,85.0,0.0,,1.4,0.488955,,,,,,-0.8,,,1.4,,1.6,10500.0,2.0,2.0,11.1,10500.0,06207,[2.4006852e+09],0-20000-0-06207,L9-FF-1,53.6144,4.9603,45.31,,
,,,,,,,11.3499,12.971,12.971,12.971,16.7154,16.7154,16.7154,,,,,,,,-0.5,-0.5,0.6,1.4,1.6,1.4,1.0,1.0,97.0,87.2,,2.6,106.9,10.7801,12.99,1.21,,,14.325,16.66,824.921,824.921,934.921,0.0,824.921,824.921,934.921,0.0,8.0,4.0,8.0,0.0,8.0,4.0,8.0,0.0,8.0,989.868,0.0,994.87,0.0,991.6,0.0,,,,994.734,,82.0,0.0,,1.1,0.0196086,,,,,,-1.4,,,1.1,,1.1,8270.0,10.0,10.0,4.0,8270.0,06208,[2.4006852e+09],0-20000-0-06208,AWG-1,53.4917,5.9417,40.5,,
,,,,,,,15.55,16.0611,16.0611,16.6613,18.2685,18.4119,19.1713,,,,,,,,2.3,2.3,2.3,3.8,4.0,3.8,6.0,6.0,123.4,113.9,,3.4,132.2,16.0367,19.77,0.78,,,18.0744,21.42,754.921,754.921,864.921,994.921,754.921,754.921,864.921,994.921,8.0,2.0,6.0,7.0,8.0,2.0,6.0,7.0,8.0,984.911,0.574,990.471,600.0,986.5,60.0,,,,990.401,,85.0,0.0,,3.7,2.69045,,,,,,1.5,,,3.6,,3.7,7270.0,61.0,61.0,4.0,7270.0,06211,[2.4006852e+09],0-20000-0-06211,J6-A,53.8242,2.9453,45.7,,
,,,,,,,10.8403,11.1653,12.8484,12.9401,13.3806,15.7271,15.7271,,,,,,,,0.5,0.5,0.8,3.1,3.1,3.1,8.0,6.0,97.2,71.7,,4.3,109.7,10.757,12.91,0.7,,,12.3798,14.35,2094.92,2094.92,2454.92,2924.92,2094.92,2094.92,2454.92,2924.92,8.0,2.0,3.0,5.0,8.0,2.0,3.0,5.0,8.0,986.317,0.4302,991.173,600.0,986.5,60.0,,,,991.082,,84.0,0.0,,3.1,2.04982,,,,,,0.7,,,3.1,,3.1,13700.0,81.0,58.0,0.0,13700.0,06213,[2.4006852e+09],0-528-0-06213,Hollandse Kust Noord,52.6978,4.2933,39.66,,
,,,,,,,13.6954,14.1075,14.3353,14.3353,17.4156,17.7904,17.7904,,,,,,,,0.7,0.7,0.7,2.2,2.4,1.9,0.0,0.0,,,,,,13.4156,15.9,1.6,,,16.2476,18.64,864.921,864.921,974.921,0.0,864.921,864.921,974.921,0.0,8.0,4.0,8.0,0.0,8.0,4.0,8.0,0.0,8.0,990.285,0.0,995.643,0.0,991.0,0.0,,,,995.518,,83.0,0.0,,1.7,0.652744,,,,,,-0.9,,,1.3,,1.7,12600.0,2.0,2.0,4.12,12600.0,06214,[2.4006852e+09],0-20000-0-06214,Buitengaats BG-OHVS2,54.0369,6.0417,43.56,,
60.0,0.06,156.9,2.38333,1.70533,2.38333,2.38334,5.598,5.87,7.46,8.53,8.02,10.56,12.43,,,,,-0.3,-0.6,1.6,0.0,-0.2,1.5,3.6,3.6,3.6,6.0,6.0,108.7,83.0,600.0,7.6,133.6,5.87,5.87,0.82,8.02,8.02,7.92,7.92,1644.92,1644.92,0.0,0.0,1644.92,1644.92,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,990.996,1.26,990.854,600.0,990.8,60.0,0.0,0.0,0.0,990.858,2.5,94.0,0.0,0.0,3.1,2.70976,,,,,,2.4,2.8,2.8,3.1,,3.1,6530.0,62.0,62.0,4.08,6530.0,06215,[2.4006852e+09],0-20000-0-06215,Voorschoten,52.1397,4.4364,-1.15,,
,,,,,,,9.29787,9.72994,11.0178,11.7657,11.7661,13.2896,14.6065,,,,,,,,1.1,0.9,2.0,3.8,3.8,3.8,,,118.5,91.4,,6.9,143.4,8.99043,10.82,0.84,,,11.5165,13.38,1114.92,1114.92,1324.92,1534.92,1114.92,1114.92,1324.92,1534.92,8.0,2.0,5.0,8.0,8.0,2.0,5.0,8.0,8.0,985.03,0.0,990.403,0.0,985.3,,,,,990.316,,91.0,0.0,,3.7,3.09777,,,,,,2.4,,,3.7,,3.8,,,,,,06216,[2.4006852e+09],0-528-0-06216,Hollandse Kust Zuid Alpha,52.3194,4.0422,44.0,,
